location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
India,1/15/2021,"Covaxin, Oxford/AstraZeneca",https://twitter.com/MoHFW_INDIA/status/1350459098203004927,0,0,0,
India,1/16/2021,"Covaxin, Oxford/AstraZeneca",https://twitter.com/MoHFW_INDIA/status/1350459098203004928,191181,191181,0,
India,1/17/2021,"Covaxin, Oxford/AstraZeneca",https://twitter.com/MoHFW_INDIA/status/1350815129177260034,224301,224301,0,
India,1/18/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,454049,454049,0,
India,1/19/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,674835,674835,0,
India,1/20/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,806484,806484,0,
India,1/21/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,1043534,1043534,0,
India,1/22/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,1390592,1390592,0,
India,1/23/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,1582201,1582201,0,
India,1/24/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,1615504,1615504,0,
India,1/25/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,2023809,2023809,0,
India,1/26/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,2029480,2029480,0,
India,1/27/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,2355979,2355979,0,
India,1/28/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,2928053,2928053,0,
India,1/29/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,3500027,3500027,0,
India,1/30/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,3744334,3744334,0,
India,1/31/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,3758843,3758843,0,
India,2/1/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,3950156,3950156,0,
India,2/2/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,4138918,4138918,0,
India,2/3/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,4449552,4449552,0,
India,2/4/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,4959445,4959445,0,
India,2/5/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,5416849,5416849,0,
India,2/6/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,5775322,5775322,0,
India,2/7/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,5812362,5812362,0,
India,2/8/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,6259008,6259008,0,
India,2/9/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,6611561,6611561,0,
India,2/10/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,7017114,7017114,0,
India,2/11/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,7505010,7505010,0,
India,2/12/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/,7967647,7967647,0,
India,2/13/2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1697804,8052454,8044786,7668,
India,2/15/2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1698251,8516771,8418653,98118,
India,2/16/2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1698525,8857341,8641002,216339,
India,2/17/2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1698832,9186757,8844641,342116,
India,2/18/2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1699157,9846523,9381591,464932,
India,2/19/2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1699476,10449942,9693000,756942,
India,2/20/2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1699698,10838323,9964383,873940,
India,2/21/2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1699735,11085173,10124531,960642,
India,2/22/2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1700035,11424094,10308552,1115542,
India,2/23/2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1700269,11907392,10585757,1321635,
India,2/24/2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1700553,12366633,10884879,1481754,
India,2/25/2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1700888,13067047,11206188,1860859,
India,2/26/2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1701203,13756940,11552857,2204083,
India,2/27/2021,"Covaxin, Oxford/AstraZeneca",https://pib.gov.in/PressReleseDetailm.aspx?PRID=1701292,14242547,11788669,2453878,
India,2/28/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/pdf/CumulativeCovidVaccinationCoverageReportDay43ason28thFebat7am.pdf,14301266,11845075,2456191,
India,3/1/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCoverageReport2ndMarch2021.pdf,14854136,12256337,2597799,
India,3/2/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport2March2021.pdf,15620749,12906771,2713978,
India,3/3/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCoverageReport3rdMarch2021.pdf,16616048,13739121,2876927,
India,3/4/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCoverageReport4thMarch2021.pdf,18005503,14796835,3208668,
India,3/5/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport5thMarch2021.pdf,19497704,15996683,3501021,
India,3/6/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport6thMarch2021.pdf,20922344,17168303,3754041,
India,3/7/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverage7thMarch2021.pdf,20989010,17227903,3761107,
India,3/8/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport8thMarch2021.pdf,23008733,18943283,4065450,
India,3/9/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport9thMarch2021.pdf,24367906,20004227,4363679,
India,3/10/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport10thMarch2021.pdf,25685011,21034481,4650530,
India,3/11/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDvaccinationCoverageReport11thMarch2021.pdf,26164920,21435841,4729079,
India,3/12/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport12thMarch2021.pdf,28218457,23075504,5142953,
India,3/13/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport13thMarch2021.pdf,29738409,24307635,5430774,
India,3/14/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDvaccinationreport14thMarch2021.pdf,29908038,24452385,5455653,
India,3/15/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport15thMarch2021.pdf,32947432,27079484,5867948,
India,3/16/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverage16thMarch2021.pdf,35064536,28862037,6202499,
India,3/17/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport17thMarch2021.pdf,37143255,30600787,6542468,
India,3/18/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverage18thMarch2021.pdf,39339817,32426230,6913587,
India,3/19/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverage19thMarch2021.pdf,42063392,34842030,7221362,
India,3/20/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport20thMarch2021.pdf,44603841,37125187,7478654,
India,3/21/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverage21stMarch2021.pdf,45065998,37574302,7491696,
India,3/22/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport22ndMarch2021.pdf,48494594,40631153,7863441,
India,3/23/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport24thMarch2021.pdf,50841286,42731952,8109334,
India,3/24/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport24thMarch2021.pdf,53145709,44846538,8299171,
India,3/25/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoveragereport25thMarch2021.pdf,55504440,47001472,8502968,
India,3/26/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoveragereport26thMarch2021.pdf,58109773,49426618,8683155,
India,3/27/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport27thMarch2021.pdf,60269782,51441436,8828346,
India,3/28/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport28thMarch2021.pdf,60530435,51660234,8870201,
India,3/29/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationcoveragereport29thMarch2021.pdf,61113354,52211398,8901956,
India,3/30/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport30thMarch2021.pdf,63054353,53989035,9065318,
India,3/31/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport31stMarch2021.pdf,65117896,55783201,9334695,
India,4/1/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport1stApril2021.pdf,68789138,59148798,9640340,
India,4/2/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCOverageREport2ndApril2021.pdf,73054295,63081589,9972706,
India,4/3/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDvaccinationcoveragereport3rdApril2021.pdf,75979651,65739470,10240181,
India,4/4/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport4thApril2021.pdf,79105163,68678838,10426325,
India,4/5/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport5thApril2021.pdf,83110926,72277309,10833617,
India,4/6/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationReport6thApril2021.pdf,87077474,75937015,11140459,
India,4/7/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCOverageReport7thApril2021.pdf,90198673,78763027,11435646,
India,4/8/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageREport8thApril2021.pdf,94334262,82456522,11877740,
India,4/9/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCOverageReport9thApril2021.pdf,98075160,85763852,12311308,
India,4/10/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport10thApril2021.pdf,101595147,88885961,12709186,
India,4/11/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport11thApril2021.pdf,104528565,91587400,12941165,
India,4/12/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport12April2021.pdf,108533085,95043039,13490046,
India,4/13/2021,"Covaxin, Oxford/AstraZeneca",https://www.mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport13thApril2021.pdf,111179578,97301914,13877664,
India,4/14/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport14thApril2021.pdf,114493238,100179199,14314039,
India,4/15/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport15thApril2021.pdf,117223509,102349255,14874254,
India,4/16/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport16thApril2021.pdf,119937641,104408484,15529157,
India,4/17/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport17thApril2021.pdf,122622590,106431076,16191514,
India,4/18/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport18thApril2021.pdf,123852566,107371770,16480796,
India,4/19/2021,"Covaxin, Oxford/AstraZeneca",http://mohfw.gov.in/pdf/CumulativeCOVIDVaccinationCoverageReport19thApril2021.pdf,127129113,109659181,17469932,
India,4/21/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,129646105,111673361,17972744,
India,4/22/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,132754608,113584269,19170339,
India,4/25/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,139185173,117795008,21390165,
India,4/26/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,142524947,119886252,22638695,
India,4/27/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,144879233,121263287,23615946,
India,4/28/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,147053392,122538179,24515213,
India,4/29/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,149268772,123811908,25456864,
India,4/30/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,151998107,125376952,26621155,
India,5/1/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,153626325,126328970,27297355,
India,5/2/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,154211511,126704151,27507360,
India,5/3/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,156082136,127696675,28385461,
India,5/4/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,157750752,128627919,29122833,
India,5/5/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,159931238,129730641,30200597,
India,5/6/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,162603603,131058890,31544713,
India,5/7/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,165190000,132294827,32895173,
India,5/8/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,167493857,133366482,34127375,
India,5/9/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,168304868,133854676,34450192,
India,5/10/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,171098918,135192013,35906905,
India,5/11/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,173862643,136557345,37305298,
India,5/12/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,176045577,137805245,38240332,
India,5/13/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,178361846,139087590,39274256,
India,5/14/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,179646413,139861462,39784951,
India,5/15/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,181544536,141132112,40412424,
India,5/16/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,182251006,141764335,40486671,
India,5/17/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,183817204,143090218,40726986,
India,5/18/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,185191602,144270200,40921402,
India,5/19/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,186410600,145333606,41076994,
India,5/20/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,187886885,146624652,41262233,
India,5/22/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,190842497,149219616,41622881,
India,5/23/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,191719240,150033188,41686052,
India,5/24/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,194165711,152301505,41864206,
India,5/25/2021,"Covaxin, Oxford/AstraZeneca",https://dashboard.cowin.gov.in/,195506779,153511379,41995400,
